produit,marque,code_barre,prix,prix_num,categorie,magasin,url_magasin,url_produit
Pâtes penne rigate CARREFOUR CLASSIC',CARREFOUR CLASSIC',3560070555390,"0,89 €",0.89,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-penne-rigate-carrefour-classic-3560070555390
Nouilles Blé poulet TANOSHI,TANOSHI,3229820783017,"0,89 €",0.89,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-ble-poulet-tanoshi-3229820783017
Pâtes cheveux d'ange CARREFOUR CLASSIC',CARREFOUR CLASSIC',3560070329120,"0,89 €",0.89,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-cheveux-d-ange-carrefour-classic-3560070329120
Pâtes pipe rigate CARREFOUR CLASSIC',CARREFOUR CLASSIC',3560070546879,"0,89 €",0.89,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-pipe-rigate-carrefour-classic-3560070546879
Plat cuisiné  nouille MI GOENG WEI MING,GOENG WEI MING,3275760001179,"0,90 €",0.9,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/plat-cuisine-nouille-mi-goeng-wei-ming-3275760001179
Nouilles de Blé Instantanées WEI MING,WEI MING,3275760002756,"0,90 €",0.9,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-de-ble-instantanees-wei-ming-3275760002756
Demae ramen beef NISSIN,NISSIN,8712429350209,"0,95 €",0.95,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/demae-ramen-beef-nissin-8712429350209
Nouilles japonaises tonkotsu NISSIN,NISSIN,8712429381401,"0,96 €",0.96,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-japonaises-tonkotsu-nissin-8712429381401
Nouilles pad thaï crevette  YUM YUM,YUM YUM,8852018800033,"0,98 €",0.98,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-pad-thai-crevette-yum-yum-8852018800033
Pâtes macaroni LUSTUCRU,LUSTUCRU,3073190101069,"0,99 €",0.99,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-macaroni-lustucru-3073190101069
