produit,marque,code_barre,prix,prix_num,categorie,magasin,url_magasin,url_produit
farine de blé type 55 De Blé T55 SIMPL,T55 SIMPL,3245414662926,"0,65 €",0.65,alimentaire_farine,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/farine-de-ble-type-55-de-ble-t55-simpl-3245414662926
Serviettes Hygiéniques sans Ailettes Normal Ultra-minces SIMPL,SIMPL,3560070334209,"0,65 €",0.65,hygiene_protections_feminines,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/serviettes-hygieniques-sans-ailettes-normal-ultra-minces-simpl-3560070334209
Farine de Blé Pâtissière CAROLINE,CAROLINE,4015801801080,"0,65 €",0.65,alimentaire_farine,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/farine-de-ble-patissiere-caroline-4015801801080
Farine De Blé T55 PP NO NAME,PP NO NAME,3483050001321,"0,65 €",0.65,alimentaire_farine,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/farine-de-ble-t55-pp-no-name-3483050001321
Pâtes Pérolas Pisellini Classica NACIONAL,NACIONAL,5601066300315,"0,66 €",0.66,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-perolas-pisellini-classica-nacional-5601066300315
Tomates entières pelées au jus SIMPL,SIMPL,3560070335060,"0,68 €",0.68,alimentaire_conserves_simples,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/tomates-entieres-pelees-au-jus-simpl-3560070335060
Savon Liquide Mains Lait CARREFOUR SOFT,CARREFOUR SOFT,3560071514433,"0,69 €",0.69,hygiene_savon,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/savon-liquide-mains-lait-carrefour-soft-3560071514433
Savon Liquide Mains Spécial Cuisine CARREFOUR SOFT,CARREFOUR SOFT,3560071514518,"0,69 €",0.69,hygiene_savon,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/savon-liquide-mains-special-cuisine-carrefour-soft-3560071514518
Briochette pur beurre,,3523680449435,"0,69 €",0.69,alimentaire_pain,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/briochette-pur-beurre-3523680449435
Lentilles CARREFOUR CLASSIC',CARREFOUR CLASSIC',3560070329441,"0,69 €",0.69,alimentaire_conserves_simples,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/lentilles-carrefour-classic-3560070329441
Savon Crème Lavante Amande CARREFOUR SOFT,CARREFOUR SOFT,3560071514570,"0,69 €",0.69,hygiene_savon,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/savon-creme-lavante-amande-carrefour-soft-3560071514570
Gâteau Fripon au chocolat,,3523680466791,"0,69 €",0.69,alimentaire_pain,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/gateau-fripon-au-chocolat-3523680466791
Carottes très fines SIMPL,SIMPL,3560070657933,"0,69 €",0.69,alimentaire_conserves_simples,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/carottes-tres-fines-simpl-3560070657933
Brossettes Souple Sensitive CARREFOUR SOFT,CARREFOUR SOFT,3560071403607,"0,69 €",0.69,hygiene_brosse_a_dents,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/brossettes-souple-sensitive-carrefour-soft-3560071403607
Dentifrice Protection Anti-tartre CARREFOUR SOFT,CARREFOUR SOFT,3560071184261,"0,69 €",0.69,hygiene_dentifrice,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/dentifrice-protection-anti-tartre-carrefour-soft-3560071184261
Dentifrice Complet CARREFOUR SOFT,CARREFOUR SOFT,3560071176204,"0,69 €",0.69,hygiene_dentifrice,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/dentifrice-complet-carrefour-soft-3560071176204
Nouilles déshydratées saveur crevettes MAMEE,MAMEE,9555022300047,"0,70 €",0.7,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-deshydratees-saveur-crevettes-mamee-9555022300047
pâtes alimentaires spaghetti CARREFOUR CLASSIC',CARREFOUR CLASSIC',3560070328970,"0,70 €",0.7,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-alimentaires-spaghetti-carrefour-classic-3560070328970
Sucre vanilliné,,3107400021127,"0,70 €",0.7,alimentaire_sucre,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/sucre-vanilline-3107400021127
Pain,,3511241225536,"0,70 €",0.7,alimentaire_pain,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pain-3511241225536
Eau de Javel Non Parfumée SIMPL,SIMPL,3560071526344,"0,73 €",0.73,entretien_eau_de_javel,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/eau-de-javel-non-parfumee-simpl-3560071526344
Eau de javel 0.026 BEC,BEC,3107240104141,"0,73 €",0.73,entretien_eau_de_javel,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/eau-de-javel-0-026-bec-3107240104141
