produit,marque,code_barre,prix,prix_num,categorie,enseigne,url_produit
MON FOURNIL Farine de châtaigne bio sans gluten,,,N/A,,farine,Auchan,https://www.auchan.fr/mon-fournil-farine-de-chataigne-bio-sans-gluten/pr-C1263573
HAPPY BIO Farine de pois chiches,,,N/A,,farine,Auchan,https://www.auchan.fr/happy-bio-farine-de-pois-chiches/pr-C1268701
MON FOURNIL Farine à pizza w360,,,N/A,,farine,Auchan,https://www.auchan.fr/mon-fournil-farine-a-pizza-w360/pr-C1499911
NATURALINE Farine de teff complète bio,,,N/A,,farine,Auchan,https://www.auchan.fr/naturaline-farine-de-teff-complete-bio/pr-C1538722
PAYSANS D'ICI Farine complète seigle bio T130,T130,,N/A,,farine,Auchan,https://www.auchan.fr/paysans-d-ici-farine-complete-seigle-bio-t130/pr-C1307022
SUNTAT Farine de maïs,,,N/A,,farine,Auchan,https://www.auchan.fr/suntat-farine-de-mais/pr-C1224933
NATURALINE Farine de riz complète bio,,,N/A,,farine,Auchan,https://www.auchan.fr/naturaline-farine-de-riz-complete-bio/pr-C1262393
VINCENSINI Farine de châtaigne bio AOC,AOC,,N/A,,farine,Auchan,https://www.auchan.fr/vincensini-farine-de-chataigne-bio-aoc/pr-C1823710
VINCENSINI Farine de châtaigne bio AOC,AOC,,N/A,,farine,Auchan,https://www.auchan.fr/vincensini-farine-de-chataigne-bio-aoc/pr-C1823694
TIPIAK Mélange fécules et farines sans gluten,,,N/A,,farine,Auchan,https://www.auchan.fr/tipiak-melange-fecules-et-farines-sans-gluten/pr-C1268690
TIPIAK Semoule de riz fine,,,N/A,,farine,Auchan,https://www.auchan.fr/tipiak-semoule-de-riz-fine/pr-C1792383
AUCHAN Préparation pour pain sans gluten,,,N/A,,farine,Auchan,https://www.auchan.fr/auchan-preparation-pour-pain-sans-gluten/pr-C1261634
SCHAR Mix pâtisserie sans gluten,,,N/A,,farine,Auchan,https://www.auchan.fr/schar-mix-patisserie-sans-gluten/pr-C1260022
MOULINS DE VERSAILLES Préparation pour pain maison aux 6 céréales et 4 graines,,,N/A,,farine,Auchan,https://www.auchan.fr/moulins-de-versailles-preparation-pour-pain-maison-aux-6-cereales-et-4-graines/pr-C1270985
SCHAR Préparation pour pain sans gluten,,,N/A,,farine,Auchan,https://www.auchan.fr/schar-preparation-pour-pain-sans-gluten/pr-C1260023
AUCHAN Préparation pour pain de campagne,,,N/A,,farine,Auchan,https://www.auchan.fr/auchan-preparation-pour-pain-de-campagne/pr-C1345047
MOULINS DE VERSAILLES Préparation pour pain de campagne,,,N/A,,farine,Auchan,https://www.auchan.fr/moulins-de-versailles-preparation-pour-pain-de-campagne/pr-C1842501
MON FOURNIL Préparation pour brioche avec levure boulangère,,,N/A,,farine,Auchan,https://www.auchan.fr/mon-fournil-preparation-pour-brioche-avec-levure-boulangere/pr-C1259467
MON FOURNIL Préparation bio pour pain express aux graines sans gluten,,,N/A,,farine,Auchan,https://www.auchan.fr/mon-fournil-preparation-bio-pour-pain-express-aux-graines-sans-gluten/pr-C1702399
MON FOURNIL Préparation pour pain d'épeautre avec levure boulangère,,,N/A,,farine,Auchan,https://www.auchan.fr/mon-fournil-preparation-pour-pain-d-epeautre-avec-levure-boulangere/pr-C1259712
MON FOURNIL Préparation pour pain blanc,,,N/A,,farine,Auchan,https://www.auchan.fr/mon-fournil-preparation-pour-pain-blanc/pr-C1259465
Levure chimique dose pour 500g de farine,,,N/A,,farine,Auchan,https://www.auchan.fr/levure-chimique-dose-pour-500g-de-farine/pr-C1186553
LES FEES MAISON Préparation bio de pancakes ou gaufres à la farine d'avoine sans lactose,,,N/A,,farine,Auchan,https://www.auchan.fr/les-fees-maison-preparation-bio-de-pancakes-ou-gaufres-a-la-farine-d-avoine-sans-lactose/pr-C1513916
FRANCINE Préparation pour crêpes au sarrasin à la farine de blé noir,,,N/A,,farine,Auchan,https://www.auchan.fr/francine-preparation-pour-crepes-au-sarrasin-a-la-farine-de-ble-noir/pr-C1273919
SOCCA Chips à la farine de pois chiche saveur poivre,,,N/A,,farine,Auchan,https://www.auchan.fr/socca-chips-a-la-farine-de-pois-chiche-saveur-poivre/pr-C1728796
NATURALINE Minis sablés bio saveur barbecue à la farine d'épeautre,,,N/A,,farine,Auchan,https://www.auchan.fr/naturaline-minis-sables-bio-saveur-barbecue-a-la-farine-d-epeautre/pr-C1820366
